"","Panther_ID","Panther_Name"
"29","PTHR24221","P-GLYCOPROTEIN RELATED"
"30","PTHR31339","PECTATE LYASE SUPERFAMILY PROTEIN DOMAIN-CONTAINING PROTEIN"
"31","PTHR31604","PROTEIN LATERAL ROOT PRIMORDIUM 1"
"32","PTHR11309","SECRETED FRIZZLED-RELATED PROTEIN 5"
"33","PTHR11802","CARBOXYPEPTIDASE"
"34","PTHR19308","POLYKETIDE CYCLASE_DEHYDRASE AND LIPID TRANSPORT SUPERFAMILY PROTEIN"
"35","PTHR10856","CORONIN-1A"
"36","PTHR32246","GENOME ASSEMBLY, CHROMOSOME: A08"
"37","PTHR31356","L-ASCORBATE PEROXIDASE"
"38","PTHR14682","KATNB1-LIKE PROTEIN 1"
"39","PTHR34704","ATPASE"
"40","PTHR11746","TRANS-RESVERATROL DI-O-METHYLTRANSFERASE-LIKE"
"41","PTHR12560","CERAMIDE SYNTHASE HYL-2"
"42","PTHR36057","LIPOPROTEIN LIPID ATTACHMENT SITE-LIKE PROTEIN, PUTATIVE (DUF1223)-RELATED"
"43","PTHR10502","ANNEXIN I"
"44","PTHR47771","LP03545P"
"45","PTHR43634","MECHANOSENSITIVE ION CHANNEL PROTEIN 2, CHLOROPLASTIC"
"46","PTHR35730","KINETOCHORE PROTEIN SPC24 HOMOLOG-RELATED"
"47","PTHR12550","HEPATOMA-DERIVED GROWTH FACTOR-RELATED"
"48","PTHR37613","DUF4378 DOMAIN PROTEIN"
"49","PTHR33133","PROTEIN, PUTATIVE-RELATED"
"50","PTHR13018","CSC1-LIKE PROTEIN"
"51","PTHR31132","N-LYSINE METHYLTRANSFERASE"
"52","PTHR12137","CARBOHYDRATE SULFOTRANSFERASE"
"53","PTHR24223","ABC-TYPE XENOBIOTIC TRANSPORTER"
"54","PTHR10728","LYSOPHOSPHOLIPASE 1-RELATED"
"55","PTHR42938","GENOME ASSEMBLY, CHROMOSOME: A07"
"56","PTHR11374","UDP-GLUCOSE 6-DEHYDROGENASE"
"57","PTHR31992","DOF ZINC FINGER PROTEIN"
"58","PTHR31929","SAUR-LIKE AUXIN-RESPONSIVE PROTEIN FAMILY"
"59","PTHR23288","OCCLUDIN AND RNA POLYMERASE II ELONGATION FACTOR ELL"
"60","PTHR46825","BETA-LACTAMASE-RELATED"
"61","PTHR24637","CUTICLE COLLAGEN 79-RELATED"
"62","PTHR10644","E3 UBIQUITIN LIGASE COMPLEX SUBUNIT MMS1"
"63","PTHR47327","APPLE DOMAIN-CONTAINING PROTEIN"
"64","PTHR33095","DUF1645 FAMILY PROTEIN"
"65","PTHR46725","COILED-COIL DOMAIN-CONTAINING PROTEIN 57"
"66","PTHR10353","THIOGLUCOSIDASE"
"67","PTHR10174","HL01515P"
"68","PTHR24243","THYROTROPIN-RELEASING HORMONE RECEPTOR"
"69","PTHR43675","ARSENITE METHYLTRANSFERASE"
"70","PTHR11618","OS03G0193600 PROTEIN"
"71","PTHR24064","AT15560P-RELATED"
"72","PTHR11109","GTP CYCLOHYDROLASE I"
"73","PTHR35007","INTEGRAL MEMBRANE PROTEIN-RELATED"
"74","PTHR11055","ADENYLYL-SULFATE KINASE"
"75","PTHR48006","PROTEIN KINASE DOMAIN-CONTAINING PROTEIN"
"76","PTHR31499","PROTEIN PHOSPHATE STARVATION RESPONSE 1-LIKE ISOFORM X1"
"77","PTHR23023","FLAVIN-CONTAINING MONOOXYGENASE"
"78","PTHR43302","SILICON EFFLUX TRANSPORTER LSI2"
"79","PTHR34591","F-BOX DOMAIN-CONTAINING PROTEIN"
"80","PTHR22765","E3 UBIQUITIN-PROTEIN LIGASE RHA4A-RELATED"
"81","PTHR43876","MONOOXYGENASE, PUTATIVE-RELATED"
"82","PTHR11206","PROTEIN DETOXIFICATION 9"
"83","PTHR31375","EXOPOLYGALACTURONASE CLONE GBGA483-RELATED"
"84","PTHR22975","INACTIVE UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 53 ISOFORM X1"
"85","PTHR46855","GATA-TYPE DOMAIN-CONTAINING PROTEIN"
"86","PTHR43895","CBL-INTERACTING PROTEIN KINASE 5"
"87","PTHR42886","ESTERASE_LIPASE_THIOESTERASE FAMILY PROTEIN-LIKE"
"88","PTHR10366","RETICULON-LIKE PROTEIN"
"89","PTHR22763","GENOME ASSEMBLY, CHROMOSOME: A03"
"90","PTHR24020","MATRILIN-2"
"91","PTHR11850","HOMEOBOX PROTEIN TGIF2LX-RELATED"
"92","PTHR34204","ASCH DOMAIN-CONTAINING PROTEIN"
"93","PTHR24006","USP DOMAIN-CONTAINING PROTEIN"
"94","PTHR21368","LARGE RIBOSOMAL SUBUNIT PROTEIN BL9C"
"95","PTHR46898","SENESCENCE-ASSOCIATED CARBOXYLESTERASE 101"
"96","PTHR39535","HTTM DOMAIN-CONTAINING PROTEIN"
"97","PTHR23429","GDH_6PGL ENDOPLASMIC BIFUNCTIONAL PROTEIN"
"98","PTHR14911","N2-METHYLGUANOSINE TRNA METHYLTRANSFERASE"
"99","PTHR45909","BNAA03G12710D PROTEIN"
"100","PTHR24379","ZINC FINGER PROTEIN 799"
"101","PTHR10802","TRANSLOCASE OF OUTER MITOCHONDRIAL MEMBRANE 40"
"102","PTHR47991","FE2OG DIOXYGENASE DOMAIN-CONTAINING PROTEIN"
"103","PTHR11851","PROCESSING PROTEASE"
"104","PTHR31942","MLO-LIKE PROTEIN"
"105","PTHR45654","START DOMAIN-CONTAINING PROTEIN"
"106","PTHR18950","KRUPPEL LIKE FACTOR 5"
"107","PTHR21499","ASPARTOKINASE 2, CHLOROPLASTIC"
"108","PTHR14255","SULFITE EXPORTER TAUE_SAFE FAMILY PROTEIN"
"109","PTHR47972","KINESIN-LIKE PROTEIN KIN-14C"
"110","PTHR46412","TRANSCRIPTION FACTOR BIM1"
"111","PTHR47965","BASIC 7S GLOBULIN-LIKE"
"112","PTHR31852","LATE EMBRYOGENESIS ABUNDANT PROTEIN LEA-2 SUBGROUP DOMAIN-CONTAINING PROTEIN"
"113","PTHR23515","HIGH-AFFINITY NITRATE TRANSPORTER 2.1-LIKE"
"114","PTHR22993","ENDONUCLEASE 8-LIKE 1"
"115","PTHR48018","OLFACTORY RECEPTOR"
"116","PTHR45650","BNAANNG05710D PROTEIN"
"117","PTHR33076","NON-SPECIFIC LIPID-TRANSFER PROTEIN"
"118","PTHR31433","PX DOMAIN-CONTAINING PROTEIN 1"
"119","PTHR24301","CYTOCHROME P450"
"120","PTHR31370","F-BOX DOMAIN-CONTAINING PROTEIN"
"121","PTHR18939","RIBOSOME-BINDING PROTEIN 1"
"122","PTHR23063","PHOSPHOLIPID ACYLTRANSFERASE"
"123","PTHR33463","DISEASE RESISTANCE PROTEIN RPS2-LIKE"
"124","PTHR38439","OUTER MEMBRANE PROTEIN H.8"
"125","PTHR19368","GENE 1140-RELATED"
"126","PTHR15073","MAP7 DOMAIN-CONTAINING PROTEIN 2"
"127","PTHR46236","MATH DOMAIN-CONTAINING PROTEIN"
"128","PTHR44329","RECEPTOR INTERACTING SERINE_THREONINE KINASE 2"
"129","PTHR22781","DELTA ADAPTIN-RELATED"
"130","PTHR11909","CASEIN KINASE 1-LIKE PROTEIN 8"
"131","PTHR13844","GENOME ASSEMBLY, CHROMOSOME: A05"
"132","PTHR19375","HEAT SHOCK 70 KDA PROTEIN 14"
"133","PTHR31561","3-KETOACYL-COA SYNTHASE"
"134","PTHR37369","TRANSMEMBRANE PROTEIN 270"
"135","PTHR24256","SERINE PROTEASE EASTER"
"136","PTHR11407","LYSOZYME-LIKE PROTEIN 4"
"137","PTHR30563","DNA RECOMBINATION PROTEIN RMUC"
"138","PTHR48054","KINASE FAMILY WITH LEUCINE-RICH REPEAT DOMAIN-CONTAINING PROTEIN"
"139","PTHR32467","AP2-LIKE ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR-RELATED"
"140","PTHR43969","GLUTATHIONE S TRANSFERASE D10, ISOFORM A-RELATED"
"141","PTHR12606","SENTRIN-SPECIFIC PROTEASE 5"
"142","PTHR12378","OS02G0655500 PROTEIN"
"143","PTHR47926","(WILD MALAYSIAN BANANA) HYPOTHETICAL PROTEIN"
"144","PTHR31657","AP2_ERF DOMAIN-CONTAINING PROTEIN"
"145","PTHR14614","VALOSIN CONTAINING PROTEIN LYSINE METHYLTRANSFERASE"
"146","PTHR23411","IMMUNOGLOBULIN HEAVY CONSTANT EPSILON"
"147","PTHR22808","TRNA (CYTOSINE(34)-C(5))-METHYLTRANSFERASE-LIKE"
"148","PTHR15285","NEURONATIN"
"149","PTHR13140","MYOSIN MOTOR DOMAIN-CONTAINING PROTEIN"
"150","PTHR31969","GRAM DOMAIN-CONTAINING PROTEIN"
"151","PTHR45821","SNF2P"
"152","PTHR10811","FRINGE"
"153","PTHR23213","FORMIN-LIKE PROTEIN"
"154","PTHR21530","TRAB FAMILY PROTEIN"
"155","PTHR45715","ATPASE H+ TRANSPORTING V1 SUBUNIT E1"
"156","PTHR12663","SISTER CHROMATID COHESION PROTEIN PDS5 HOMOLOG C"
"157","PTHR12632","NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT"
"158","PTHR12419","UBIQUITIN THIOESTERASE OTU"
"159","PTHR43606","PHOD-LIKE PHOSPHATASE METALLOPHOSPHATASE DOMAIN-CONTAINING PROTEIN"
"160","PTHR44191","TRANSCRIPTION FACTOR SRM1"
"161","PTHR38052","ABM DOMAIN-CONTAINING PROTEIN"
"162","PTHR10688","SUBFAMILY NOT NAMED"
"163","PTHR47785","ZN(II)2CYS6 TRANSCRIPTION FACTOR (EUROFUNG)"
"164","PTHR11214","N-ACETYLLACTOSAMINIDE BETA-1,3-N-ACETYLGLUCOSAMINYLTRANSFERASE 2"
"165","PTHR10634","ZINC FINGER A20 AND AN1 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 6"
"166","PTHR46758","MYND-TYPE DOMAIN-CONTAINING PROTEIN"
"167","PTHR23189","FLOWERING TIME CONTROL PROTEIN FPA"
"168","PTHR48007","POLLEN RECEPTOR-LIKE KINASE 5"
"169","PTHR31235","PEROXIDASE"
"170","PTHR17206","PRRP PROTEIN"
"171","PTHR43372","FATTY-ACID AMIDE HYDROLASE"
"172","PTHR23266","IG-LIKE DOMAIN-CONTAINING PROTEIN"
"173","PTHR40112","H2HPP ISOMERASE"
"174","PTHR16301","IMPACT N-TERMINAL DOMAIN-CONTAINING PROTEIN"
"175","PTHR48019","SUBFAMILY NOT NAMED"
"176","PTHR33065","DUF6598 DOMAIN-CONTAINING PROTEIN"
"177","PTHR14950","ENDORIBONUCLEASE DICER HOMOLOG 3B"
"178","PTHR10605","HEPARAN SULFATE GLUCOSAMINE 3-O-SULFOTRANSFERASE 4"
"179","PTHR32370","NPH3 DOMAIN-CONTAINING PROTEIN"
"180","PTHR14843","DEUBIQUITINATING PROTEIN VCPIP1"
"181","PTHR33487","CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 54"
"182","PTHR10177","CYCLIN-F3-2-RELATED"
"183","PTHR13780","CBS_OCTICOSAPEPTIDE_PHOX_BEMP1 (PB1) DOMAIN PROTEIN"
"184","PTHR18945","NICOTINIC ACETYLCHOLINE RECEPTOR ALPHA5, ISOFORM I"
"185","PTHR15711","RAP1 GTPASE-ACTIVATING PROTEIN 1"
"186","PTHR24322","ESTRADIOL 17-BETA-DEHYDROGENASE 11"
"187","PTHR21407","RE43931P-RELATED"
"188","PTHR11552","NEITHER INACTIVATION NOR AFTERPOTENTIAL PROTEIN G"
"189","PTHR31072","TRANSCRIPTION FACTOR TCP5"
"190","PTHR19241","DRUG RESISTANCE TRANSPORTER-LIKE ABC DOMAIN PROTEIN"
"191","PTHR27008","PROTEIN KINASE DOMAIN-CONTAINING PROTEIN"
"192","PTHR36475","LEUCINE-RICH SINGLE-PASS MEMBRANE PROTEIN 1"
"193","PTHR10166","VWFA DOMAIN-CONTAINING PROTEIN"
"194","PTHR26454","OLFACTORY RECEPTOR"
"195","PTHR10763","CELL DIVISION CONTROL PROTEIN 6 HOMOLOG"
"196","PTHR21659","UPF0057 MEMBRANE PROTEIN C04G6.5-RELATED"
"197","PTHR39200","AUTO-TRANSPORTER ADHESIN HEAD GIN DOMAIN-CONTAINING PROTEIN-RELATED"
"198","PTHR24209","TRANSCRIPTION FACTOR INTERACTOR AND REGULATOR LIM FAMILY"
"199","PTHR34940","PHOTOSYSTEM II 5 KDA PROTEIN, CHLOROPLASTIC"
"200","PTHR45614","SUCROSE RESPONSIVE ELEMENT BINDING PROTEIN"
"201","PTHR10343","5'-AMP-ACTIVATED PROTEIN KINASE SUBUNIT BETA-1"
"202","PTHR13411","PLASMINOGEN RECEPTOR (KT)"
"203","PTHR33640","DUF4408 DOMAIN-CONTAINING PROTEIN"
"204","PTHR22937","RING-TYPE E3 UBIQUITIN TRANSFERASE"
"205","PTHR19237","NUCLEOBINDIN"
"206","PTHR12872","ALPHA-N-ACETYLGLUCOSAMINIDASE"
"207","PTHR10168","GLUTAREDOXIN DOMAIN-CONTAINING PROTEIN"
"208","PTHR35367","RRM DOMAIN-CONTAINING PROTEIN"
"209","PTHR42770","PUTRESCINE TRANSPORTER POTE"
"210","PTHR33305","ETHYLENE INSENSITIVE 3-LIKE DNA-BINDING DOMAIN-CONTAINING PROTEIN"
"211","PTHR12537","PUMILIO HOMOLOG 3"
"212","PTHR43941","PH DOMAIN-CONTAINING PROTEIN"
"213","PTHR24279","CYTOCHROME P450 11B2, MITOCHONDRIAL"
"214","PTHR24373","TROPHOBLAST GLYCOPROTEIN-LIKE"
"215","PTHR23389","CHROMOSOME TRANSMISSION FIDELITY FACTOR 18"
"216","PTHR28002","MIOREX COMPLEX COMPONENT 11"
"217","PTHR16684","CENTROMERE PROTEIN C"
"218","PTHR14340","IG-LIKE DOMAIN-CONTAINING PROTEIN"
"219","PTHR11711","ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 11"
"220","PTHR34397","TF-B3 DOMAIN-CONTAINING PROTEIN"
"221","PTHR46083","OS04G0624600 PROTEIN"
"222","PTHR12565","BHLH DOMAIN-CONTAINING PROTEIN"
"223","PTHR38777","FELS-2 PROPHAGE PROTEIN"
"224","PTHR46773","OS04G0487100 PROTEIN"
"225","PTHR35249","DYNEIN REGULATORY COMPLEX SUBUNIT 7"
"226","PTHR13832","PROTEIN PHOSPHATASE 2C-RELATED PROTEIN"
"227","PTHR21567","CLIP-ASSOCIATED PROTEIN"
"228","PTHR31355","TOG DOMAIN-CONTAINING PROTEIN"
"229","PTHR10114","60S RIBOSOMAL PROTEIN L36"
"230","PTHR45089","DUF3444 DOMAIN-CONTAINING PROTEIN"
"231","PTHR31479","OS01G0666400 PROTEIN"
"232","PTHR47924","DYW DOMAIN-CONTAINING PROTEIN"
"233","PTHR13865","TIGHT JUNCTION PROTEIN ZO-1 ISOFORM X1"
"234","PTHR40940","PROTEIN BATD-RELATED"
"235","PTHR10272","PAF ACETYLHYDROLASE FAMILY PROTEIN"
"236","PTHR35129","GUANINE NUCLEOTIDE-BINDING PROTEIN SUBUNIT GAMMA 2"
"237","PTHR24369","LEUCINE-RICH REPEAT-CONTAINING PROTEIN 4B"
"238","PTHR19282","TETRASPANIN"
"239","PTHR33177","OS05G0442000 PROTEIN"
"240","PTHR12812","HEPARAN-SULFATE 6-O-SULFOTRANSFERASE 2"
"241","PTHR24416","EPHRIN TYPE-B RECEPTOR 4"
"242","PTHR45858","FERM DOMAIN CONTAINING PROTEIN"
"243","PTHR31115","BNAA03G49750D PROTEIN"
"244","PTHR37030","NUCLEOTIDYLTRANSFERASE"
"245","PTHR45750","HISTONE ACETYLTRANSFERASE"
"246","PTHR31525","HEME TRANSPORTER HRG-4"
"247","PTHR48045","GLYCOSYLTRANSFERASE"
"248","PTHR11913","ACTIN-DEPOLYMERIZING FACTOR 10-LIKE"
"249","PTHR10288","C3H1-TYPE DOMAIN-CONTAINING PROTEIN"
"250","PTHR14338","ACTIN FILAMENT-ASSOCIATED PROTEIN 1 FAMILY MEMBER"
"251","PTHR10902","RIBOSOMAL PROTEIN L35A"
"252","PTHR45796","FORKHEAD BOX PROTEIN P4"
"253","PTHR33021","PHYTOCYANIN DOMAIN, CUPREDOXIN"
"254","PTHR46087","OS07G0205900 PROTEIN"
"255","PTHR47508","NON-SPECIFIC SERINE_THREONINE PROTEIN KINASE"
"256","PTHR47548","BNAA06G32370D PROTEIN"
"257","PTHR48022","TRANSPORTER, PUTATIVE-RELATED"
"258","PTHR21437","WIDE AWAKE"
"259","PTHR13763","BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN"
"260","PTHR10739","CHOLINE-PHOSPHATE CYTIDYLYLTRANSFERASE"
"261","PTHR10694","LYSINE-SPECIFIC DEMETHYLASE 4A-RELATED"
"262","PTHR47925","PENTATRICOPEPTIDE REPEAT-CONTAINING PROTEIN DOT4, CHLOROPLASTIC-LIKE"
"263","PTHR33320","METHIONYL-TRNA SYNTHETASE"
"264","PTHR46944","RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 33"
"265","PTHR33130","SUBFAMILY NOT NAMED"
"266","PTHR11926","GLYCOSYLTRANSFERASE"
"267","PTHR15018","BCL-2-INTERACTING KILLER"
"268","PTHR41533","BLR7131 PROTEIN"
"269","PTHR31311","GLYCOSYLTRANSFERASE 6"
"270","PTHR35257","TRANSMEMBRANE PROTEIN 82"
"271","PTHR45855","BHLH DOMAIN-CONTAINING PROTEIN"
"272","PTHR21258","FIBROBLAST GROWTH FACTOR RECEPTOR SUBSTRATE 2 ISOFORM X1"
"273","PTHR23155","OS08G0543500 PROTEIN"
"274","PTHR31720","SERPENTINE RECEPTOR, CLASS Z"
"275","PTHR43880","ALCOHOL DEHYDROGENASE A"
"276","PTHR42774","KETOHEXOKINASE"
"277","PTHR16059","ANTHRAX TOXIN RECEPTOR 2"
"278","PTHR33077","PROTEIN JAZ13"
"279","PTHR32448","TETRAHYDROCANNABINOLIC ACID SYNTHASE-LIKE"
"280","PTHR37249","TRANSMEMBRANE PROTEIN"
"281","PTHR11426","HISTONE H3"
"282","PTHR13495","NEFA-INTERACTING NUCLEAR PROTEIN NIP30"
"283","PTHR48016","MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE STE-STE11 FAMILY"
"284","PTHR43350","ENOYL REDUCTASE (ER) DOMAIN-CONTAINING PROTEIN"
"285","PTHR12687","NUCLEOLAR COMPLEX 2 AND RAD4-RELATED"
"286","PTHR43066","RHOMBOID-RELATED PROTEIN"
"287","PTHR22803","C-TYPE LECTIN DOMAIN FAMILY 19 MEMBER A"
"288","PTHR10083","BPTI_KUNITZ INHIBITOR DOMAIN-CONTAINING PROTEIN"
"289","PTHR30108","3-OCTAPRENYL-4-HYDROXYBENZOATE CARBOXY-LYASE-RELATED"
"290","PTHR24406","REPLICATION INITIATOR 1"
"291","PTHR14336","DUAL ADAPTER FOR PHOSPHOTYROSINE AND 3-PHOSPHOTYROSINE AND 3-PHOSPHOINOSITIDE"
"292","PTHR13723","THROMBOSPONDIN TYPE 1 DOMAIN CONTAINING 4"
"293","PTHR32285","PROTEIN TRICHOME BIREFRINGENCE-LIKE 38"
"294","PTHR14927","NUCLEOLAR PROTEIN 10"
"295","PTHR46408","BZIP DOMAIN-CONTAINING PROTEIN"
"296","PTHR27002","CYSTEINE-RICH RECEPTOR-LIKE PROTEIN KINASE 26 ISOFORM X1"
"297","PTHR24356","SERINE_THREONINE-PROTEIN KINASE YPK1"
"298","PTHR31079","NAC DOMAIN-CONTAINING PROTEIN"
"299","PTHR33573","CASP-LIKE PROTEIN 4A3"
"300","PTHR13664","BECLIN 1-ASSOCIATED AUTOPHAGY-RELATED KEY REGULATOR"
"301","PTHR43272","LONG CHAIN ACYL-COA SYNTHETASE 2"
"302","PTHR11817","PYRUVATE KINASE"
"303","PTHR44140","LD25575P"
"304","PTHR43939","CENTROSOMAL PROTEIN OF 162 KDA"
"305","PTHR35548","EXPRESSED PROTEIN"
"306","PTHR24418","PROTEIN-TYROSINE KINASE 2-BETA"
"307","PTHR45623","SNF2 FAMILY DNA-DEPENDENT ATPASE"
"308","PTHR19359","CYTOCHROME B5"
"309","PTHR48001","OLFACTORY RECEPTOR 7D4"
"310","PTHR15258","FIBROBLAST GROWTH FACTOR-BINDING PROTEIN 1"
"311","PTHR31192","SPERM-SPECIFIC FAMILY, CLASS Q"
"312","PTHR30055","HTH-TYPE TRANSCRIPTIONAL REPRESSOR BDCR"
"313","PTHR34359","CLAVATA3/ESR (CLE)-RELATED PROTEIN 10"
"314","PTHR31881","OS09G0494600 PROTEIN"
"315","PTHR24114","NLR FAMILY MEMBER X1"
"316","PTHR24394","ZINC FINGER PROTEIN 148"
"317","PTHR10715","60S RIBOSOMAL PROTEIN L6"
"318","PTHR26450","OLFACTORY RECEPTOR"
"319","PTHR46040","HMG BOX DOMAIN-CONTAINING PROTEIN"
"320","PTHR21419","IG-LIKE DOMAIN-CONTAINING PROTEIN"
"321","PTHR11829","FORKHEAD BOX PROTEIN D5"
"322","PTHR46367","ATAXIN-7-LIKE PROTEIN 3"
"323","PTHR31913","VACUOLAR IMPORT AND DEGRADATION PROTEIN 27"
"324","PTHR48034","OS06G0724600 PROTEIN"
"325","PTHR43447","ALPHA-AMYLASE"
"326","PTHR43326","METHIONYL-TRNA SYNTHETASE"
"327","PTHR11062","BETA-1,4-XYLOSYLTRANSFERASE IRX10L-RELATED"
"328","PTHR47993","FAMILY PROTEIN, PUTATIVE-RELATED"
"329","PTHR37024","TYPE VI SECRETION SYSTEM PROTEIN TSSA"
"330","PTHR35936","AMINO ACID ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN"
"331","PTHR39385","SLIT-LIKE 3 PROTEIN"
"332","PTHR32278","PHLOEM PROTEIN"
"333","PTHR12468","GPI MANNOSYLTRANSFERASE 2"
"334","PTHR46146","PROTEIN KINASE DOMAIN-CONTAINING PROTEIN"
"335","PTHR11740","CASEIN KINASE II SUBUNIT BETA"
"336","PTHR32077","FAS1 DOMAIN-CONTAINING PROTEIN"
"337","PTHR28026","MEMBRANE PROTEIN, PUTATIVE (DUF962)-RELATED"
"338","PTHR10362","PHENYLALANINE AMMONIA-LYASE"
"339","PTHR31048","THAUMATIN-LIKE PROTEIN"
"340","PTHR48078","THREONINE DEHYDRATASE, MITOCHONDRIAL"
"341","PTHR11685","E3 UBIQUITIN-PROTEIN LIGASE ARIH1"
"342","PTHR34461","EXPRESSED PROTEIN"
"343","PTHR28564","STANNIN"
"344","PTHR20003","SGNH DOMAIN-CONTAINING PROTEIN"
"345","PTHR11652","40S RIBOSOMAL PROTEIN S23"
"346","PTHR35275","ZCF37"
"347","PTHR10537","DNA PRIMASE LARGE SUBUNIT"
"348","PTHR16083","TMV RESISTANCE PROTEIN N-LIKE"
"349","PTHR11538","25S RRNA (URIDINE-N(3))-METHYLTRANSFERASE BMT5-LIKE DOMAIN-CONTAINING PROTEIN"
"350","PTHR12121","FAMILY PROTEIN, PUTATIVE, EXPRESSED-RELATED"
"351","PTHR11680","SERINE HYDROXYMETHYLTRANSFERASE 7"
"352","PTHR44259","DUF295 DOMAIN-CONTAINING PROTEIN"
"353","PTHR34927","IQ DOMAIN-CONTAINING PROTEIN K"
"354","PTHR33155","FAF DOMAIN-CONTAINING PROTEIN"
"355","PTHR18860","14-3-3-LIKE PROTEIN D"
"356","PTHR12185","SID1 TRANSMEMBRANE FAMILY MEMBER 1"
"357","PTHR28586","PROTEIN PAXX"
"358","PTHR13281","TRANSMEMBRANE PROTEIN 70, MITOCHONDRIAL"
"359","PTHR31374","SAUR FAMILY PROTEIN"
"360","PTHR31470","UBIQUITIN-LIKE PROTEASE FAMILY PROFILE DOMAIN-CONTAINING PROTEIN"
"361","PTHR11183","HEXOSYLTRANSFERASE"
"362","PTHR46219","SHKT DOMAIN-CONTAINING PROTEIN"
"363","PTHR11176","RRM DOMAIN-CONTAINING PROTEIN"
"364","PTHR47293","JACALIN-TYPE LECTIN DOMAIN-CONTAINING PROTEIN"
"365","PTHR31802","SUBFAMILY NOT NAMED"
"366","PTHR23259","TIL DOMAIN-CONTAINING PROTEIN"
"367","PTHR46991","23.5 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL"
"368","PTHR11006","PROTEIN ARGININE N-METHYLTRANSFERASE PRMT10"
"369","PTHR31228","CYSTATIN_MONELLIN SUPERFAMILY PROTEIN"
"370","PTHR31263","GLYCOSYL HYDROLASE SUPERFAMILY PROTEIN"
"371","PTHR48000","OS01G0191900 PROTEIN"
"372","PTHR10913","FOLLISTATIN-RELATED PROTEIN 4"
"373","PTHR24058","PROTEIN KINASE SUPERFAMILY PROTEIN"
"374","PTHR43157","SHORT-CHAIN DEHYDROGENASE_REDUCTASE FAMILY PROTEIN"
"375","PTHR15431","FGFR1 ONCOGENE PARTNER/LISH DOMAIN-CONTAINING PROTEIN"
"376","PTHR44281","SPINDLE ASSEMBLY ABNORMAL PROTEIN 6 HOMOLOG"
"377","PTHR23167","EH DOMAIN-BINDING PROTEIN 1-LIKE PROTEIN 1"
"378","PTHR22951","ENTH DOMAIN-CONTAINING PROTEIN"
"379","PTHR13475","NEUGRIN"
"380","PTHR13683","OS06G0717900 PROTEIN"
"381","PTHR23104","CELL GROWTH REGULATOR WITH EF HAND DOMAIN PROTEIN 1"
"382","PTHR33471","ATP-DEPENDENT ZINC METALLOPROTEASE-RELATED"
"383","PTHR23291","BI1-LIKE PROTEIN"
"384","PTHR33170","CCHC-TYPE DOMAIN-CONTAINING PROTEIN"
"385","PTHR31973","PROTEIN FAR1-RELATED SEQUENCE"
"386","PTHR11977","LOW QUALITY PROTEIN: SUPERVILLIN"
