"","UniqueSequenceName","Diamond_Hit","Diamond_Percentage_Identity","Diamond_length","Diamond_E_value","Diamond_BitScore","Diamond_qframe"
"24","DP3_PD_TRINITY_DN17317_c1_g1_i8.p1","B2DCR8.1",64.9,1003,0,1336,0
"25","DP5_PN_TRINITY_DN473_c0_g1_i1.p1","B2DCR8.1",79.5,1052,0,1695,0
"26","DP6_PN_TRINITY_DN1575_c0_g2_i1.p1","B2DCR8.1",49,708,7.46e-240,708,0
"27","DP3_PD_TRINITY_DN17056_c1_g1_i1.p1","CAE1313662.1",89,410,3.95e-260,738,0
"28","EB7_PN_TRINITY_DN18618_c0_g1_i1.p1","B2DCR8.1",60.3,1053,0,1305,0
"29","EB5_PN_TRINITY_DN880_c0_g1_i8.p1","B2DCR8.1",52.8,500,2.65e-174,529,0
"30","EB8_PN_TRINITY_DN8708_c0_g1_i3.p1","XP_052078133.1",54.9,566,2.43e-220,635,0
"31","EB5_PN_TRINITY_DN3091_c0_g3_i2.p1","CAE1260478.1",63.7,273,1.43e-115,348,0
"32","EB5_PN_TRINITY_DN2193_c0_g1_i1.p1","CAE1291348.1",90,409,2.44e-177,511,0
"33","EB5_PN_TRINITY_DN689_c3_g2_i1.p1","CAE1293597.1",66.3,276,8.48e-105,320,0
"34","EB5_PN_TRINITY_DN15134_c0_g1_i1.p1","XP_014783233.1",51.9,466,1.61e-176,516,0
"35","EB10_PN_TRINITY_DN2068_c0_g1_i6.p1","BCB28795.1",61.4,378,4.42e-174,507,0
"36","EB9_PN_TRINITY_DN29130_c1_g1_i10.p1","CAE1282782.1",77.2,679,0,1080,0
"37","EB7_PN_TRINITY_DN12371_c0_g1_i2.p1","CAE1176247.1",71.3,527,4.91e-282,786,0
"38","EB10_PN_TRINITY_DN1558_c12_g1_i10.p1","CAE1295985.1",81.2,191,9.46e-107,319,0
"39","EB10_PN_TRINITY_DN3072_c0_g1_i2.p1","XP_029637232.1",41.6,308,4.01e-77,248,0
"40","EB5_PN_TRINITY_DN2860_c0_g2_i1.p1","KAI0740168.1",33.5,227,2.19e-29,123,0
"41","EB10_PN_TRINITY_DN36905_c0_g1_i1.p1","CAE1318317.1",78.3,337,4.39e-202,578,0
"42","EB10_PN_TRINITY_DN451_c0_g2_i1.p1","XP_029657579.1",72.7,480,1.9e-257,722,0
"43","EB9_PN_TRINITY_DN84099_c0_g1_i2.p1","CAI9736947.1",39.3,369,4.11e-92,293,0
"44","EB1_MH_TRINITY_DN49989_c3_g6_i1.p1","CAE1328800.1",84.1,472,1.01e-302,835,0
"45","EB1_MH_TRINITY_DN48644_c10_g8_i1.p1","CAE1318331.1",93.2,235,2.68e-160,454,0
"46","EB10_PN_TRINITY_DN589_c0_g5_i2.p1","XP_014784049.1",38.1,236,1.21e-58,198,0
"47","EB10_PN_TRINITY_DN258_c1_g1_i1.p1","XP_029654758.1",46.5,228,2.18e-71,230,0
"48","EB10_PN_TRINITY_DN66_c0_g1_i7.p1","ACJ22654.1",41,188,1.16e-46,164,0
"49","EB4_PN_TRINITY_DN2921_c0_g1_i10.p1","CAE1252570.1",48.9,233,3.09e-73,241,0
"50","ES2_JR_TRINITY_DN46894_c0_g1_i1.p1","CAE1280942.1",69.9,1058,0,1540,0
"51","ES2_JR_TRINITY_DN107463_c0_g1_i1.p1","CAE1176247.1",70.8,527,1.33e-279,780,0
"52","ES1_JR_TRINITY_DN15450_c0_g1_i3.p1","CAE1320666.1",79.5,391,3.04e-232,649,0
"53","ES1_JR_TRINITY_DN104541_c0_g1_i1.p1","CAE1318317.1",77.6,339,4.75e-202,578,0
"54","ES2_JR_TRINITY_DN1170_c1_g1_i2.p1","XP_014768200.1",60.7,117,1.21e-45,154,0
"55","HM3_PD_TRINITY_DN2937_c0_g1_i9.p1","XP_052826435.1",86.7,497,0,875,0
"56","HM3_PD_TRINITY_DN2937_c0_g1_i1.p1","CAI9727864.1",85.7,559,0,976,0
"57","HM3_PD_TRINITY_DN71479_c0_g1_i1.p1","XP_036368006.1",82.2,1091,0,1877,0
"58","HM1_PD_TRINITY_DN2076_c7_g1_i1.p1","XP_014781241.1",93.9,345,1.43e-243,673,0
"59","HM3_PD_TRINITY_DN2868_c0_g1_i2.p1","XP_029649275.1",90.4,1678,0,3042,0
"60","HM1_PD_TRINITY_DN23692_c0_g1_i2.p1","XP_014786356.1",90,351,5.42e-247,684,0
"61","HM3_PD_TRINITY_DN476_c0_g1_i1.p1","XP_014771656.1",81.5,389,1.97e-240,669,0
"62","HM1_PD_TRINITY_DN183_c0_g1_i1.p1","XP_014775861.1",69.6,270,4.7e-133,388,0
"63","HM1_PD_TRINITY_DN63_c0_g2_i6.p1","XP_029654766.1",87.4,254,1.55e-163,464,0
"64","HM1_PD_TRINITY_DN7154_c1_g2_i1.p1","XP_014768200.1",95.7,116,2.85e-71,219,0
"65","HM1_PD_TRINITY_DN16_c0_g2_i2.p1","XP_029651131.1",83.1,254,7.17e-155,441,0
"66","OB1_PD_TRINITY_DN6109_c0_g2_i1.p1","XP_052822611.1",100,619,0,1282,0
"67","OB1_PD_TRINITY_DN5776_c0_g1_i4.p1","XP_014781048.1",100,562,0,1133,0
"68","OB1_PD_TRINITY_DN28963_c0_g1_i1.p1","XP_036368006.1",88.5,1094,0,2016,0
"69","OB1_PD_TRINITY_DN13991_c0_g1_i3.p1","XP_014771914.1",99.8,1046,0,2163,0
"70","OB2_PD_TRINITY_DN66_c0_g1_i1.p1","XP_014788915.1",99.6,266,7.51e-188,526,0
"71","OB1_PD_TRINITY_DN749_c1_g2_i1.p1","XP_014770381.1",100,322,2.04e-220,613,0
"72","OB1_PD_TRINITY_DN55_c25_g1_i2.p1","XP_014781241.1",100,345,1.64e-258,711,0
"73","OB3_PD_TRINITY_DN48_c0_g3_i1.p1","XP_014785566.1",100,368,2.4e-274,753,0
"74","OB1_PD_TRINITY_DN1084_c0_g1_i6.p1","XP_014781238.1",100,409,4.62000000000012e-311,849,0
"75","OB2_PD_TRINITY_DN321_c0_g1_i1.p1","XP_014778868.1",100,287,6.23e-202,563,0
"76","OB1_PD_TRINITY_DN3794_c0_g1_i1.p1","XP_014786592.2",99.9,1635,0,3241,0
"77","OB1_PD_TRINITY_DN10181_c0_g1_i1.p1","XP_052830678.1",95.1,446,3.96999999999989e-312,855,0
"78","OB2_PD_TRINITY_DN19_c0_g1_i1.p1","XP_014790454.1",100,305,1.26e-211,589,0
"79","OB1_PD_TRINITY_DN125_c0_g1_i4.p1","XP_052832783.1",100,328,2.57e-230,641,0
"80","OB2_PD_TRINITY_DN93_c3_g2_i1.p2","XP_014785199.1",100,160,4.4e-110,330,0
"81","OB1_PD_TRINITY_DN9356_c0_g1_i2.p1","XP_014786356.1",100,364,4.86e-281,769,0
"82","OB1_PD_TRINITY_DN57_c0_g1_i1.p1","XP_014771656.1",100,388,1.08e-287,788,0
"83","OB1_PD_TRINITY_DN7650_c0_g1_i1.p1","XP_014782437.1",99.6,764,0,1515,0
"84","OB2_PD_TRINITY_DN1_c0_g1_i1.p1","CAI9743227.1",81.2,410,2.24e-250,696,0
"85","OB1_PD_TRINITY_DN3105_c0_g1_i2.p1","XP_014785522.1",100,499,0,984,0
"86","OB1_PD_TRINITY_DN2522_c0_g1_i3.p1","CAI9742234.1",93.6,264,4.53e-188,526,0
"87","OB2_PD_TRINITY_DN100_c0_g1_i1.p1","XP_014776000.1",100,256,4.04e-187,523,0
"88","OB2_PD_TRINITY_DN37_c0_g1_i1.p1","XP_014784049.1",100,254,1.81e-187,524,0
"89","OB1_PD_TRINITY_DN1041_c0_g4_i1.p1","XP_014769410.1",99.6,266,6.76e-200,556,0
"90","OB1_PD_TRINITY_DN7478_c0_g1_i8.p1","CAI9740754.1",78.8,255,1.07e-145,418,0
"91","OB2_PD_TRINITY_DN26_c0_g1_i3.p1","CAI9740754.1",75.7,255,2.19e-138,400,0
"92","OB3_PD_TRINITY_DN281_c0_g4_i1.p1","XP_029653452.1",84.8,237,1.54e-152,434,0
"93","OB3_PD_TRINITY_DN60_c0_g1_i11.p1","CAI9740754.1",78.8,255,1.85e-146,420,0
"94","OB1_PD_TRINITY_DN7478_c0_g1_i2.p1","CAI9740754.1",79.2,255,1.85e-146,420,0
"95","OB2_PD_TRINITY_DN2960_c0_g1_i3.p1","XP_052827612.1",100,300,8.78e-233,645,0
"96","OB2_PD_TRINITY_DN59_c0_g1_i3.p1","XP_014782846.1",100,101,4.53e-61,192,0
"97","OK1_PD_TRINITY_DN113_c1_g1_i1.p1","XP_014771656.1",83.2,388,1.98e-242,674,0
"98","OK1_PD_TRINITY_DN113_c1_g1_i3.p1","XP_014771655.1",82.5,388,8.36e-242,672,0
"99","OV1_PD_SRR7130741_TRINITY_DN9675_c0_g1_i1.p1","XP_036368006.1",95.2,1095,0,2153,0
"100","OV1_PD_SRR7130741_TRINITY_DN10366_c9_g1_i6.p1","CAI9718349.1",100,304,1.94e-209,583,0
"101","OV1_PD_SRR7130741_TRINITY_DN10407_c7_g1_i6.p2","XP_029653452.1",99.2,237,3.21e-179,501,0
"102","OV1_PD_SRR7130741_TRINITY_DN10283_c4_g2_i3.p1","XP_029651018.1",97.7,258,5.51e-186,520,0
"103","OV1_PD_SRR7130741_TRINITY_DN10221_c5_g3_i7.p1","XP_029650854.1",74,154,2.11e-75,236,0
"104","OV1_PD_SRR7130741_TRINITY_DN10286_c2_g2_i5.p1","CAI9729316.1",100,257,3.62e-195,543,0
"105","OV1_PD_SRR7130741_TRINITY_DN10286_c2_g2_i14.p1","XP_029640868.1",97.4,273,1.08e-204,569,0
"106","OV1_PD_SRR7130741_TRINITY_DN10387_c4_g2_i3.p1","CAI9740465.1",100,179,1.31e-128,372,0
"107","SB10_PN_TRINITY_DN10702_c0_g2_i3.p1","AAD15886.1",94.1,574,0,1142,0
"108","SB4_JR_TRINITY_DN5832_c0_g1_i1.p1","AAD15886.1",93.8,512,0,1012,0
"109","SB1_JR_TRINITY_DN56718_c0_g1_i1.p1","CAE1266291.1",61.9,604,1.12e-259,729,0
"110","SB8_PN_TRINITY_DN7666_c0_g1_i3.p1","CAE1266291.1",57.9,634,1.34e-244,692,0
"111","SB1_JR_TRINITY_DN1111_c0_g1_i1.p1","QGK85629.1",71.4,689,0,1025,0
"112","SB1_JR_TRINITY_DN671_c0_g1_i1.p1","CAE1280942.1",79.2,1064,0,1737,0
"113","SB11_PN_TRINITY_DN31739_c0_g1_i3.p1","CAE1260478.1",84.5,284,5.24e-169,484,0
"114","SB3_JR_TRINITY_DN47074_c27_g1_i1.p1","KAG0050057.1",27.3,220,3.41e-14,82.8,0
"115","SB2_JR_TRINITY_DN3704_c0_g3_i2.p1","CAE1320666.1",87.2,392,7.78e-258,713,0
"116","SB3_JR_TRINITY_DN2544_c1_g1_i1.p1","UBT01723.1",56.1,189,8.84e-62,206,0
"117","SB10_PN_TRINITY_DN3172_c0_g1_i4.p1","CAE1291348.1",95,362,6.75e-195,555,0
"118","SB5_PN_TRINITY_DN5921_c0_g1_i1.p1","CAE1280942.1",87.3,561,0,1038,0
"119","SB10_PN_TRINITY_DN4575_c0_g3_i1.p1","CAE1243575.1",87.1,451,1.16e-289,805,0
"120","SB10_PN_TRINITY_DN3150_c0_g1_i9.p1","XP_029640057.1",47.2,381,2.58e-121,379,0
"121","SB2_JR_TRINITY_DN72060_c0_g1_i1.p1","XP_014783233.1",50.4,462,7.96e-174,509,0
"122","SB9_PN_TRINITY_DN6061_c2_g1_i1.p1","CAE1266291.1",54,619,1.46e-223,638,0
"123","SB2_JR_TRINITY_DN72371_c0_g1_i1.p1","AFV94409.1",56.3,1406,0,1580,0
"124","SB2_JR_TRINITY_DN3094_c0_g1_i1.p1","ACF04700.1",80,1681,0,2745,0
"125","SB6_PN_TRINITY_DN10101_c0_g1_i5.p1","CAI9736947.1",65.4,269,4.32e-131,389,0
"126","SB1_JR_TRINITY_DN17_c4_g3_i1.p1","CAI9724229.1",41,310,1.41e-77,249,0
"127","SB11_PN_TRINITY_DN50_c0_g1_i2.p1","CAE1295985.1",89,191,9.95e-114,337,0
"128","SB6_PN_TRINITY_DN41_c0_g1_i3.p1","CAE1176247.1",80.1,532,5.27999999999999e-309,852,0
"129","SB10_PN_TRINITY_DN1446_c0_g1_i9.p1","XP_046549759.1",33.8,544,1.4e-100,327,0
"130","SB11_PN_TRINITY_DN26669_c1_g1_i12.p1","XP_046549759.1",34,544,4.57e-102,331,0
"131","SB1_JR_TRINITY_DN8751_c0_g1_i2.p1","CAE1318317.1",89.8,352,5.34e-242,680,0
"132","SB8_PN_TRINITY_DN246_c0_g2_i16.p1","CAE1313662.1",92.6,390,8.54e-252,712,0
"133","SB3_JR_TRINITY_DN33578_c0_g1_i1.p1","XP_053380158.1",38,100,6.25e-12,73.9,0
"134","SB11_PN_TRINITY_DN19570_c0_g1_i1.p1","CAE1252570.1",89.4,235,2.59e-150,437,0
"135","SB7_PN_TRINITY_DN15983_c1_g1_i1.p1","XP_054428783.1",42.9,371,3.53e-96,304,0
"136","SB11_PN_TRINITY_DN28242_c4_g2_i2.p1","ACJ22644.1",86.8,205,2.81e-131,380,0
"137","SB5_PN_TRINITY_DN149_c1_g1_i14.p1","XP_029654758.1",46.5,228,1.54e-71,230,0
"138","SB3_JR_TRINITY_DN17365_c0_g1_i1.p1","XP_029654753.1",44.1,152,5.41e-30,120,0
"139","SB10_PN_TRINITY_DN4917_c0_g3_i1.p1","BAD15111.1",81.1,392,3.91e-237,661,0
"140","SB7_PN_TRINITY_DN15983_c1_g1_i2.p1","XP_055976799.1",41.6,373,4.24e-96,304,0
"141","SB12_PN_TRINITY_DN4968_c0_g1_i1.p1","CAE1320665.1",79.8,391,9.84e-233,650,0
"142","SB9_PN_TRINITY_DN15038_c0_g1_i2.p1","CAE1318317.1",77.8,352,7.41e-207,591,0
"143","SO7_PD_TRINITY_DN136_c2_g1_i6.p1","B2DCR8.1",81.4,1047,0,1684,0
"144","SO3_MH_TRINITY_DN64606_c6_g1_i4.p1","B2DCR8.1",52.7,938,0,1018,0
"145","SO2_PD_som_TRINITY_DN9930_c0_g1_i1.p1","QGK85629.1",69.5,689,0,984,0
"146","SO1_PD_sof_TRINITY_DN12563_c5_g6_i1.p1","CAE1280942.1",76.9,1059,0,1702,0
"147","SO1_PD_sof_TRINITY_DN12378_c7_g4_i1.p1","CAE1176247.1",87.2,532,0,966,0
"148","SO5_PD_TRINITY_DN1150_c0_g3_i2.p1","CAE1277675.1",89.5,190,3.68e-125,367,0
"149","SO1_PD_sof_TRINITY_DN454_c0_g1_i1.p1","CAE1318317.1",91.7,351,2.4e-251,703,0
"150","SO1_PD_sof_TRINITY_DN11685_c8_g1_i3.p1","ARB18030.1",92.3,389,1.08e-264,731,0
"151","SO3_MH_TRINITY_DN61749_c0_g1_i1.p1","EHB02947.1",42.5,369,1.18e-101,318,0
"152","SO5_PD_TRINITY_DN405_c0_g2_i12.p1","CAE1252570.1",89.8,235,2.38e-153,445,0
"153","SO1_PD_sof_TRINITY_DN12603_c6_g3_i1.p1","XP_052833195.1",58.2,244,1.02e-94,290,0
"154","SO1_PD_sof_TRINITY_DN12326_c5_g3_i3.p1","CAE1252570.1",48.7,230,9.02e-73,239,0
"155","SO5_PD_TRINITY_DN148_c0_g1_i8.p1","ACJ22643.1",43.3,252,6.28e-73,234,0
"156","SO5_PD_TRINITY_DN181_c2_g3_i1.p1","ACJ22644.1",83.9,254,1.63e-153,438,0
"157","DP3_PD_TRINITY_DN16210_c7_g1_i5.p1","CAE1271131.1",60.3,695,1.26e-189,561,0
"158","DP3_PD_TRINITY_DN16210_c7_g1_i4.p1","CAE1271131.1",61.8,676,2.24e-191,565,0
"159","DP3_PD_TRINITY_DN16210_c7_g1_i6.p1","CAE1271131.1",59.8,301,1.57e-121,379,0
"160","DP3_PD_TRINITY_DN16210_c7_g1_i1.p1","CAE1271131.1",67.9,252,2.86e-121,376,0
"161","DP3_PD_TRINITY_DN17845_c9_g1_i3.p1","XP_014769556.1",72.8,445,3.17e-256,715,0
"162","DP3_PD_TRINITY_DN16658_c8_g2_i2.p1","CAE1266297.1",61.9,176,1.76e-73,242,0
"163","DP3_PD_TRINITY_DN14978_c0_g1_i1.p1","XP_041360844.1",45.5,552,2.63e-166,499,0
"164","DP3_PD_TRINITY_DN16456_c8_g2_i1.p1","XP_029641000.1",67.5,581,6.26e-301,842,0
"165","DP3_PD_TRINITY_DN15583_c0_g1_i1.p1","CAE1274102.1",72.7,835,0,1357,0
"166","DP3_PD_TRINITY_DN16456_c8_g2_i2.p1","XP_029641000.1",66.7,592,2.35e-300,842,0
"167","DP5_PN_TRINITY_DN2152_c0_g1_i1.p1","XP_052831460.1",30.4,227,9.17e-28,118,0
"168","DP5_PN_TRINITY_DN4321_c0_g3_i1.p1","CAI9739057.1",73.3,438,1.38e-263,734,0
"169","DP3_PD_TRINITY_DN16586_c0_g1_i1.p1","XP_052821518.1",34.1,757,5.73e-139,438,0
"170","EB10_PN_TRINITY_DN13497_c0_g2_i3.p1","XP_014777536.2",75.2,1801,0,2638,0
"171","EB5_PN_TRINITY_DN49859_c0_g1_i1.p1","CAE1258373.1",72.6,201,9.33e-85,313,0
"172","EB7_PN_TRINITY_DN109_c0_g1_i16.p1","CAE1272263.1",29.3,389,1.09e-40,169,0
"173","EB7_PN_TRINITY_DN95413_c0_g1_i2.p1","CAE1258552.1",84.4,716,0,1167,0
"174","EB1_MH_TRINITY_DN49153_c5_g10_i1.p1","CAE1314305.1",62.3,382,8.03e-121,370,0
"175","EB9_PN_TRINITY_DN300_c0_g1_i22.p1","CAI9727909.1",39.4,246,1.38e-37,155,0
"176","EB5_PN_TRINITY_DN2812_c5_g1_i1.p1","CAE1314595.1",63.6,264,3.17e-121,380,0
"177","EB7_PN_TRINITY_DN606_c2_g2_i7.p1","CAE1314595.1",67.4,264,1.74e-130,404,0
"178","EB8_PN_TRINITY_DN1_c0_g1_i1.p1","CAE1314595.1",64,264,3.69e-128,397,0
"179","EB7_PN_TRINITY_DN999_c0_g1_i1.p1","CAE1314595.1",64,264,4.67e-128,397,0
"180","EB10_PN_TRINITY_DN13399_c0_g1_i1.p1","CAI9720589.1",53.7,669,2.27e-197,583,0
"181","EB8_PN_TRINITY_DN1383_c0_g1_i8.p1","CAE1310994.1",77.2,2204,0,3164,0
"182","EB7_PN_TRINITY_DN999_c0_g1_i7.p1","CAE1314595.1",64,264,3.95e-128,397,0
"183","EB10_PN_TRINITY_DN2919_c0_g2_i1.p1","CAE1159862.1",78.6,1408,0,2119,0
"184","EB5_PN_TRINITY_DN16369_c0_g1_i1.p1","CAH1244689.1",36.7,376,3.67e-70,238,0
"185","EB10_PN_TRINITY_DN81131_c0_g1_i1.p1","XP_014778358.1",48.3,410,5.54e-117,358,0
"186","EB8_PN_TRINITY_DN6071_c0_g1_i4.p1","CAE1271131.1",71,310,4.89e-158,479,0
"187","EB7_PN_TRINITY_DN10818_c0_g1_i1.p1","CAE1238891.1",75.2,1131,0,1598,0
"188","EB8_PN_TRINITY_DN30330_c0_g1_i7.p1","CAE1261465.1",81.9,697,5.03e-286,816,0
"189","EB10_PN_TRINITY_DN7446_c0_g1_i2.p1","CAE1314595.1",64.4,253,6.35e-124,381,0
"190","EB5_PN_TRINITY_DN1186_c7_g1_i1.p1","CAI9734328.1",52.8,337,6.32e-116,359,0
"191","EB3_PN_TRINITY_DN826455_c0_g1_i1.p1","CAI9737014.1",71.1,263,4.12e-137,406,0
"192","EB10_PN_TRINITY_DN23530_c0_g1_i1.p1","CAE1322390.1",74.4,449,1.05e-213,609,0
"193","EB10_PN_TRINITY_DN13563_c0_g1_i1.p1","XP_029639119.1",62.7,335,2.21e-155,455,0
"194","EB10_PN_TRINITY_DN71_c0_g1_i14.p1","CAI9727909.1",39.4,246,1.2e-37,155,0
"195","EB10_PN_TRINITY_DN5616_c0_g1_i1.p1","CAE1140666.1",71.8,701,0,1042,0
"196","EB8_PN_TRINITY_DN26669_c0_g1_i2.p1","CAE1174190.1",84.1,1005,0,1774,0
"197","EB10_PN_TRINITY_DN4654_c2_g1_i1.p1","CAE1298785.1",57.5,736,2.47e-299,841,0
"198","EB9_PN_TRINITY_DN4463_c0_g1_i3.p1","CAE1300717.1",64,677,4.07e-277,797,0
"199","EB10_PN_TRINITY_DN3996_c0_g1_i1.p1","CAE1306498.1",65.2,474,2.48e-192,569,0
"200","EB3_PN_TRINITY_DN183069_c8_g1_i1.p1","XP_052823476.1",80.2,242,1.49e-128,409,0
"201","EB3_PN_TRINITY_DN714089_c0_g1_i1.p1","CAI9740244.1",42,243,9.87e-48,171,0
"202","EB7_PN_TRINITY_DN8699_c0_g1_i2.p1","CAI9718836.1",59.6,1563,0,1714,0
"203","EB7_PN_TRINITY_DN7063_c0_g1_i1.p1","XP_029658109.2",55.3,553,9.06e-199,575,0
"204","EB7_PN_TRINITY_DN2620_c1_g1_i3.p1","CAI9740646.1",40.8,233,8.72e-40,154,0
"205","EB7_PN_TRINITY_DN419_c0_g2_i1.p1","CAE1294728.1",92.6,664,0,1171,0
"206","EB7_PN_TRINITY_DN5917_c0_g1_i1.p1","CAE1300047.1",83,488,1.5e-304,875,0
"207","EB7_PN_TRINITY_DN14640_c0_g1_i5.p2","CAE1169147.1",50,172,1.28e-41,174,0
"208","EB8_PN_TRINITY_DN5774_c0_g1_i5.p1","XP_014784837.1",68.5,723,0,1140,0
"209","EB7_PN_TRINITY_DN2369_c2_g2_i2.p1","CAE1233243.1",75.5,601,0,915,0
"210","EB1_MH_TRINITY_DN47925_c4_g2_i1.p1","CAE1262780.1",75.3,397,1.83e-212,603,0
"211","EB10_PN_TRINITY_DN3907_c0_g4_i1.p1","XP_029633661.1",66.7,1130,0,1515,0
"212","EB8_PN_TRINITY_DN402_c0_g1_i13.p1","CAI9727909.1",39.4,246,9.71e-38,155,0
"213","EB7_PN_TRINITY_DN71202_c0_g1_i2.p1","CAE1320622.1",45.9,582,4.93e-156,477,0
"214","EB5_PN_TRINITY_DN693_c0_g1_i1.p1","CAE1259476.1",69.2,1762,0,2085,0
"215","EB7_PN_TRINITY_DN3455_c0_g1_i6.p3","XP_029640071.1",42,338,6.35e-81,282,0
"216","EB8_PN_TRINITY_DN20890_c0_g1_i1.p1","CAE1320622.1",43.1,603,2.55e-153,470,0
"217","EB7_PN_TRINITY_DN111132_c0_g1_i1.p1","CAE1315741.1",67,924,0,1282,0
"218","EB10_PN_TRINITY_DN9484_c1_g1_i1.p1","CAI9740673.1",58,469,1.52e-186,539,0
"219","EB5_PN_TRINITY_DN2715_c0_g1_i1.p1","XP_029635402.1",66.2,527,8.28e-269,753,0
"220","EB10_PN_TRINITY_DN617_c0_g1_i1.p1","XP_014768645.1",50.6,259,3.48e-91,283,0
"221","EB3_PN_TRINITY_DN42911_c0_g1_i2.p1","CAE1271131.1",71,310,1.32e-157,479,0
"222","EB1_MH_TRINITY_DN47925_c4_g2_i2.p1","CAE1262780.1",75.5,359,1.14e-188,541,0
"223","EB3_PN_TRINITY_DN165888_c0_g1_i3.p1","XP_052832301.1",71.9,199,1.72e-98,295,0
"224","EB7_PN_TRINITY_DN68763_c0_g1_i1.p1","CAE1255798.1",74.6,276,1.99e-146,426,0
"225","EB1_MH_TRINITY_DN52491_c4_g7_i1.p1","CAE1248477.1",78.4,1397,0,2123,0
"226","EB4_PN_TRINITY_DN611_c0_g1_i8.p1","CAE1271131.1",64.9,251,2.9e-112,354,0
"227","EB4_PN_TRINITY_DN37364_c0_g1_i1.p1","XP_036369247.1",61.4,290,3.8e-123,366,0
"228","EB8_PN_TRINITY_DN6071_c0_g1_i1.p1","CAE1271131.1",56.5,301,1.98e-112,354,0
"229","EB10_PN_TRINITY_DN278_c0_g1_i1.p1","XP_036369247.1",61.4,290,1.54e-122,364,0
"230","EB1_MH_TRINITY_DN48515_c5_g3_i2.p1","XP_052223522.1",36.6,453,3.83e-91,307,0
"231","EB1_MH_TRINITY_DN53863_c3_g5_i1.p1","XP_014781544.1",64.7,1767,0,2043,0
"232","EB3_PN_TRINITY_DN113709_c0_g1_i3.p1","CAE1316801.1",67.7,325,6.4e-151,442,0
"233","EB10_PN_TRINITY_DN12749_c0_g1_i4.p1","XP_036357774.1",70.9,3430,0,5328,0
"234","EB8_PN_TRINITY_DN10429_c0_g1_i1.p1","CAE1257679.1",86.6,314,5.64e-202,565,0
"235","EB3_PN_TRINITY_DN140507_c0_g1_i1.p1","XP_036364914.1",64.8,159,2.66e-68,224,0
"236","EB1_MH_TRINITY_DN54086_c4_g8_i2.p1","QVQ68751.1",71,314,5.02e-160,464,0
"237","EB5_PN_TRINITY_DN6566_c0_g1_i1.p1","CAE1288439.1",68,328,3.7e-162,479,0
"238","EB5_PN_TRINITY_DN5862_c3_g1_i2.p1","CAE1227535.1",87.7,357,2.36e-241,672,0
"239","EB1_MH_TRINITY_DN48123_c6_g5_i3.p1","CAE1316801.1",72.2,395,7.58e-203,577,0
